start_date,end_date,"station id",lat,lon,elev
1998/08/10,2100/01/01,933,35.23,-108.27,8460
2009/08/11,2100/01/01,1116,40.55,-110.35,8464
1978/10/01,2100/01/01,417,40.28,-115.53,8500
1978/10/01,2100/01/01,595,33.36,-107.83,8500
1985/10/01,2100/01/01,831,42.76,-110.59,8500
2010/10/18,2100/01/01,992,40.89,-110.83,8500
2002/11/15,2100/01/01,1041,39.6,-106.51,8500
2008/06/02,2100/01/01,1125,34.97,-111.51,8500
2008/06/02,2100/01/01,1127,33.9,-109.16,8500
1995/09/26,2100/01/01,915,44.85,-113.84,8540
1979/10/01,2100/01/01,498,41.67,-117.57,8543
1991/10/01,2100/01/01,501,43.47,-107.24,8550
1978/10/01,2100/01/01,403,45.02,-111.85,8600
1979/10/01,2100/01/01,412,40.21,-105.57,8600
1979/10/01,2100/01/01,436,45.17,-113.58,8600
1979/10/01,2100/01/01,744,36,-106.83,8600
2006/09/14,2100/01/01,1083,36.13,-105.53,8600
1983/10/01,2100/01/01,786,43.03,-109.17,8620
2008/06/02,2100/01/01,1112,36.31,-115.68,8626
1978/10/01,2100/01/01,864,39.96,-110.99,8641
1978/10/01,2100/01/01,353,42.96,-110.61,8650
2007/08/29,2100/01/01,1097,39.68,-110.43,8684
1979/10/01,2100/01/01,337,39.29,-117.11,8695
1978/10/01,2100/01/01,467,40.85,-106.97,8700
1985/10/01,2100/01/01,658,39.3,-106.61,8700
1979/10/01,2100/01/01,826,42.7,-108.9,8700
1978/10/01,2100/01/01,862,45.05,-109.91,8700
1979/10/01,2100/01/01,621,38.3,-112.44,8703
1985/10/01,2100/01/01,793,40.23,-105.92,8720
2010/08/06,2100/01/01,1132,44.35,-107.02,8720
1978/10/01,2100/01/01,559,40.72,-109.54,8724
1978/10/01,2100/01/01,612,39.68,-111.32,8727
1985/10/01,2100/01/01,366,40.6,-111.58,8750
1978/10/01,2100/01/01,379,43.7,-109.67,8750
1978/10/01,2100/01/01,506,43.39,-110.13,8750
1979/10/01,2100/01/01,616,44.3,-109.24,8760
1978/10/01,2100/01/01,490,43.87,-114.71,8780
1984/10/01,2100/01/01,694,38.97,-112.25,8790
1978/10/01,2100/01/01,627,44.47,-114.49,8800
1979/10/01,2100/01/01,652,39.32,-119.89,8801
2010/08/23,2100/01/01,1149,38.51,-111.77,8818
1979/10/01,2100/01/01,696,45.42,-110.09,8830
1978/10/01,2100/01/01,318,44.47,-112.98,8850
1979/10/01,2100/01/01,635,45.22,-110.24,8850
2010/08/04,2100/01/01,1131,44.54,-107.18,8870
2010/10/22,2100/01/01,1162,40.96,-110.58,8870
1978/10/01,2100/01/01,386,37.65,-107.81,8880
1979/10/01,2100/01/01,449,41.3,-107.15,8880
1978/10/01,2100/01/01,451,44.57,-107.3,8880
1991/10/01,2100/01/01,590,45.27,-111.43,8880
1979/10/01,2100/01/01,607,40.08,-106.67,8880
1978/10/01,2100/01/01,798,44.72,-107.4,8880
1979/10/01,2100/01/01,723,40.44,-112.22,8900
1994/09/16,2100/01/01,907,37.52,-112.27,8900
1978/10/01,2100/01/01,399,39.87,-111.28,8908
2004/07/27,2100/01/01,1047,41.07,-106.94,8915
1990/10/01,2100/01/01,387,37.66,-107.8,8920
2010/10/01,2100/01/01,1161,40.89,-105.66,8920
2001/09/19,2100/01/01,1014,39.8,-106.03,8940
1985/10/01,2100/01/01,859,41,-106.91,8950
1978/10/01,2100/01/01,634,41.47,-111.5,8960
1978/10/01,2100/01/01,845,43.8,-114.85,8960
1987/10/01,2100/01/01,628,40.66,-111.64,8967
1985/10/01,2100/01/01,383,37.81,-109.49,8968
1979/10/01,2100/01/01,676,43.66,-109.01,8975
2008/06/02,2100/01/01,1111,36.32,-115.7,8979
1978/10/01,2100/01/01,392,40.85,-111.05,8993
2010/08/11,2100/01/01,1151,41.92,-113.41,8994
2011/09/14,2100/01/01,1153,37.87,-109.45,8998
1982/10/01,2100/01/01,385,44.96,-111.29,9000
1978/10/01,2100/01/01,757,33.37,-108.71,9000
1978/10/01,2100/01/01,779,42.53,-110.66,9000
2010/08/04,2100/01/01,1134,42.58,-109.09,9000
1978/10/01,2100/01/01,714,39.45,-111.27,9009
1978/10/01,2100/01/01,511,33.65,-109.31,9020
2002/09/09,2100/01/01,1032,40.71,-106.01,9020
1980/10/01,2100/01/01,688,40.4,-105.85,9030
1984/10/01,2100/01/01,775,42.57,-108.84,9040
2009/05/12,2100/01/01,1138,36.18,-108.95,9050
1978/10/01,2100/01/01,342,42.65,-109.26,9080
